Size,Selection,Run,Obj1,Obj2,Obj3
250,Roleta,3,8003.44,7754.79,7722.79
250,Roleta,3,7372.96,7456.36,7005.12
250,Roleta,3,8077.56,8137.93,8053.85
250,Roleta,3,7387.6,7635.47,7472.3
250,Roleta,3,7441.34,7759.48,7390.66
250,Roleta,3,8097.4,7798.74,7984.81
250,Roleta,3,7701.43,7675.65,7700.75
250,Roleta,3,7535.52,7572.5,7414.15
250,Roleta,3,7486.76,7524.71,7389.38
250,Roleta,3,7160.89,7202.28,7221.65
250,Roleta,3,7757.18,7769.7,7237.86
250,Roleta,3,7891.54,7484.12,7650.52
250,Roleta,3,8134.35,8327.39,8351.25
250,Roleta,3,8336.61,8178.38,8314.34
250,Roleta,3,7975.45,7973.55,8049.84
250,Roleta,3,7873.23,7885.4,7971.08
250,Roleta,3,7279.09,7329.19,7346.32
250,Roleta,3,7216.4,7416.87,7218.4
250,Roleta,3,7922.72,8023.81,7816.67
250,Roleta,3,7647.29,7880.67,7683.81
250,Roleta,3,7706.75,7772.4,7549.76
250,Roleta,3,7585.97,7248.27,7510.01
250,Roleta,3,8120.72,7712.51,8067.52
250,Roleta,3,8120.72,7712.51,8067.52
250,Roleta,4,7728.37,8239.3,8685.32
250,Roleta,4,7089.17,7699.57,7790.57
250,Roleta,4,7112.14,7424.93,7911.44
250,Roleta,4,7538.78,8016.38,8323.95
250,Roleta,4,7134.23,7373.33,7982.55
250,Roleta,4,7449.73,7919.32,8227.57
250,Roleta,4,6872.96,7085.82,7461.53
250,Roleta,4,7482.74,7838.43,8196.26
250,Roleta,4,6946.97,7474.47,8113.28
250,Roleta,4,7560.54,7931.51,8169.75
250,Roleta,4,7227.71,7856.18,8248.19
250,Roleta,4,7199,7683.56,8106.07
250,Roleta,4,7263.56,7711.5,8067.35
250,Roleta,4,7398.8,7901.94,7970.59
250,Roleta,4,7953.9,8321.36,8827.07
250,Roleta,4,7614.18,7707.98,8409.8
250,Roleta,4,7615.69,8009.92,8276.77
250,Roleta,4,7594.03,8191.5,8484.55
250,Roleta,4,7233.07,7584.47,7896.38
250,Roleta,4,7249.75,7460.63,7992.66
250,Roleta,4,7410.17,7976.09,8033.29
250,Roleta,4,7592.26,8277.93,8522.39
250,Roleta,4,7456.7,7762.03,8292.18
250,Roleta,4,7535.17,7898.2,8475.3
250,Roleta,4,7497.28,7760.25,8260.03
250,Roleta,4,7231.06,7711.01,8154.91
250,Roleta,4,7696.56,7882.39,8468.62
250,Roleta,4,7466.59,7819.12,8294.19
250,Roleta,4,8077.82,8159.96,8502.88
250,Roleta,4,7358.43,7951.3,8381.54
250,Roleta,4,7669.31,8250.12,8341.24
250,Roleta,4,7558.62,7815.91,8211.11
250,Roleta,4,7581.26,7610.39,7772.21
250,Roleta,4,7086.59,7615.4,7917.51
250,Roleta,4,7321.73,7533.97,7924.35
250,Roleta,4,7719.58,8213.07,8673.44
250,Roleta,4,7360.85,7690.96,8116.23
250,Roleta,4,7384.56,7824.12,8145.62
250,Roleta,4,6676.84,7226.36,7702.55
250,Roleta,4,7621.68,7965.15,8333.35
250,Roleta,4,7030.12,7381.15,8097.09
250,Roleta,4,7537.22,7864.91,7798.38
250,Roleta,4,7420.39,7681.58,8057.85
250,Roleta,4,7075.59,7299.45,7589.59
250,Roleta,4,7198.97,7476.01,7939.18
250,Roleta,4,7474.45,7751.6,8065.69
250,Roleta,4,7841.19,8129.1,8695.56
250,Roleta,4,7864.1,8158.67,8679.29
250,Roleta,4,7605.2,7833.09,8385.68
250,Roleta,4,7069.43,7565.68,7909.11
250,Roleta,4,8040.08,8214.9,8651.99
250,Roleta,4,7332.27,7677.99,7664.77
250,Roleta,4,6973.03,7339.55,7391.79
250,Roleta,4,7740.95,7948.93,8408.08
250,Roleta,4,6862.68,7264.51,7651.34
250,Roleta,4,6900.93,7166.38,7356.17
250,Roleta,4,7407.38,7811.73,8055.88
250,Roleta,4,7531.49,7877.53,8420.91
250,Roleta,4,7172.23,7584.52,7870.95
250,Roleta,4,7258.26,7708.31,8163.58
250,Roleta,4,7638.34,7691.49,8458.72
250,Roleta,4,7247.26,7826.76,8241.46
250,Roleta,4,7041.29,7639.67,8131.06
250,Roleta,4,6826.1,6902.86,7416.46
250,Roleta,4,7339.2,7656.45,8145.93
250,Roleta,4,7871.89,7914.57,8244.66
250,Roleta,4,7266.45,7815.77,8182.84
250,Roleta,4,7626.63,7783.25,8421.45
250,Roleta,4,7593.26,7971.62,8454.96
250,Roleta,4,7292.07,7819.03,8283.75
250,Roleta,4,7273.37,7775.82,8020.36
250,Roleta,4,7494.75,7515.13,7737.39
250,Roleta,4,6823.85,7233.27,7669.02
250,Roleta,4,7596.81,8001.36,8373.45
250,Roleta,4,7029.07,7334.8,7821.04
250,Roleta,4,7192.62,7629.58,8061.76
250,Roleta,4,7641.76,7873.54,8477.68
250,Roleta,4,7516.29,7630.19,8238.72
250,Roleta,4,7412.25,7831.6,8126.35
250,Roleta,4,7117.93,7861.52,7868.3
250,Roleta,4,7471.98,7970.3,8163.2
250,Roleta,4,7573.86,7912.33,7905.37
250,Roleta,4,7546.76,7896.99,8342.43
250,Roleta,4,7293.75,7899.89,8273.43
250,Roleta,4,7687.79,7644.05,8357.29
250,Roleta,4,7931.21,8147.51,8349.66
250,Roleta,4,7109.84,7755.59,7944.07
250,Roleta,4,7215.46,7320.39,7584.38
250,Roleta,4,7722.85,7859.22,8287.62
250,Roleta,4,7544.43,7817.45,8316.59
250,Roleta,4,7373.53,7981.6,7857.75
250,Roleta,4,7373.53,7981.6,7857.75
250,Roleta,5,7172.68,6617.2,7743.99
250,Roleta,5,8004.9,7430.08,8258
250,Roleta,5,7540.33,7289.57,8033.89
250,Roleta,5,7456.62,7189.37,7731.4
250,Roleta,5,7177.09,7376.11,7630.84
250,Roleta,5,7825.57,7636.33,8041.55
250,Roleta,5,7485.86,7246.53,7808.61
250,Roleta,5,7013.43,7292.4,7789.44
250,Roleta,5,7251.58,7104.88,7583.45
250,Roleta,5,7878.58,7599.12,8251.86
250,Roleta,5,7263.65,6828.87,7266.48
250,Roleta,5,7649.56,7061.42,7809.35
250,Roleta,5,7982.56,7587.17,8170.47
250,Roleta,5,7849.78,7646.85,8150.78
250,Roleta,5,7715.13,7154.18,7816.5
250,Roleta,5,7569.24,7207.02,7913.62
250,Roleta,5,7485.05,7185.5,7757.29
250,Roleta,5,7035.03,6810.88,7186.48
250,Roleta,5,7857.73,7226.84,7672.27
250,Roleta,5,7805.08,7314.16,7939.59
250,Roleta,5,7814.4,7274.49,8080.73
250,Roleta,5,7552.98,7184.61,7846.02
250,Roleta,5,8109.38,7502.01,8268.25
250,Roleta,5,7502.84,7431.35,7523.39
250,Roleta,5,7963.35,7380.81,8068.24
250,Roleta,5,7680.03,7176.94,8263.82
250,Roleta,5,8284.15,7897.32,8364.09
250,Roleta,5,7274.94,6931.42,7737.05
250,Roleta,5,8158.95,7827.47,8388.35
250,Roleta,5,7331.33,7254.34,7575.44
250,Roleta,5,7888.39,7555.04,8217.11
250,Roleta,5,8043.76,7404.95,8289.79
250,Roleta,5,7926.78,7758.02,8188.13
250,Roleta,5,7548.8,7424.7,7827.45
250,Roleta,5,7257.53,7133.91,7796.64
250,Roleta,5,7145.25,6910.67,7560.71
250,Roleta,5,7756.36,7183.01,7848.15
250,Roleta,5,8322.44,7828.84,8286.88
250,Roleta,5,8387.04,7531.4,8477.05
250,Roleta,5,7722.83,7328.08,8096.45
250,Roleta,5,7751.18,7310.79,7839.22
250,Roleta,5,7444.69,7150.4,7770.29
250,Roleta,5,7138.5,7012.6,7427.08
250,Roleta,5,7631.06,7453.18,7972.41
250,Roleta,5,7823.55,7333.46,8032.93
250,Roleta,5,7179.27,7186.07,7838.89
250,Roleta,5,8031.03,7589.84,7935.39
250,Roleta,5,7407.87,7185.48,7644.05
250,Roleta,5,7691.3,7262.69,7786.23
250,Roleta,5,7699.47,7494.9,7863.58
250,Roleta,5,7478.23,6959.28,7525.18
250,Roleta,5,6799.66,6940.43,7702.74
250,Roleta,5,7639.24,7146.8,7655.68
250,Roleta,5,8181.75,7816.01,8354.77
250,Roleta,5,8058.09,7495.55,8173.53
250,Roleta,5,7051,6997.55,8014.97
250,Roleta,5,7492.65,7024.01,7669.73
250,Roleta,5,8162.17,7765.24,8139.62
250,Roleta,5,7331.67,6999.15,7739.37
250,Roleta,5,7725.36,7583.09,8093.13
250,Roleta,5,8102.77,7645.37,8352.43
250,Roleta,5,7225.06,6991.4,7893.59
250,Roleta,5,7426.37,7574.67,7880.32
250,Roleta,5,6727.44,6733.56,7352.95
250,Roleta,5,7035.25,6515.76,7264.89
250,Roleta,5,7247.67,7290.31,7939.33
250,Roleta,5,7600.55,7334.86,7783.55
250,Roleta,5,7492.93,7167.4,7642.02
250,Roleta,5,7076.99,6859.5,7257.66
250,Roleta,5,7576.82,7170.35,7734.74
250,Roleta,5,7131.49,6729.37,7740.73
250,Roleta,5,7307.47,6980.79,7645.53
250,Roleta,5,8034.2,7515.49,8367.62
250,Roleta,5,7787.44,7019.02,7968.55
250,Roleta,5,8109.96,7770.62,8061.1
250,Roleta,5,7928.25,7147.52,8054.57
250,Roleta,5,7012.4,6548.79,7067.26
250,Roleta,5,7378.63,7096.3,7576.46
250,Roleta,5,7090.27,6896.67,7413.92
250,Roleta,5,7481.12,7275.48,7738.7
250,Roleta,5,7845.33,7407.84,8041.6
250,Roleta,5,7852.18,7704.41,8155.72
250,Roleta,5,6958.26,7007.97,7732.21
250,Roleta,5,6970.17,7208.61,7420.16
250,Roleta,5,7399.56,6997.64,7427.96
250,Roleta,5,7891.85,7514,8041.14
250,Roleta,5,7878.05,7387.12,7830.7
250,Roleta,5,7190.8,7030.77,7600.98
250,Roleta,5,7188.61,6993.29,7480.07
250,Roleta,5,7706.63,7083.42,7877.15
250,Roleta,5,6478.96,6599.16,7240.87
250,Roleta,5,6478.96,6599.16,7240.87
250,Roleta,6,7394.17,7231.32,7512.33
250,Roleta,6,7717.07,7350.64,7766.64
250,Roleta,6,7657.13,7472.4,8404.36
250,Roleta,6,7660.35,7401.16,8101.72
250,Roleta,6,6970.82,6914.36,7650.53
250,Roleta,6,7488.99,7270.34,8072
250,Roleta,6,6886.46,6811.01,7821.5
250,Roleta,6,7835.55,7638.83,8177.9
250,Roleta,6,7533.74,7270.18,7735.19
250,Roleta,6,7586.52,7508.7,7936.99
250,Roleta,6,7238,7098.62,7789.91
250,Roleta,6,8038.36,8074.51,8426.15
250,Roleta,6,7512.86,7447.94,7931.94
250,Roleta,6,7894.99,7504.59,8414.42
250,Roleta,6,8066.73,7709.6,7875.55
250,Roleta,6,7743.88,7352.75,8206.58
250,Roleta,6,7511.47,7158.31,8006.63
250,Roleta,6,7420.21,7270.9,8068.68
250,Roleta,6,7176.98,6919.01,7672.07
250,Roleta,6,7111.63,7186.22,7450.13
250,Roleta,6,7202.89,7109.94,7471.17
250,Roleta,6,7911.62,7674.35,8064.24
250,Roleta,6,7491.8,7163.31,7746.35
250,Roleta,6,7413.66,7232.72,7989.43
250,Roleta,6,7064.39,6769.09,7418.37
250,Roleta,6,8165.2,7852.26,8456.4
250,Roleta,6,7435.41,7133.88,8039.44
250,Roleta,6,7352.53,7213.79,7711.05
250,Roleta,6,8014.14,7566.56,8172.93
250,Roleta,6,7680.31,7416.51,7902.68
250,Roleta,6,7777.02,7535.95,7835.54
250,Roleta,6,7343.19,7200.49,8031.95
250,Roleta,6,7310,7317.27,7674.51
250,Roleta,6,7479.7,7007.11,7787.03
250,Roleta,6,7710.09,7502.33,8141.73
250,Roleta,6,7067.52,6714.31,7420.61
250,Roleta,6,7330.71,6842.17,7810.96
250,Roleta,6,7352.91,7218.68,7862.99
250,Roleta,6,7459.13,7422.21,7850.97
250,Roleta,6,7857.52,7609.6,8186.78
250,Roleta,6,8009.34,7715.2,8195.2
250,Roleta,6,7219.54,7477.08,7668.36
250,Roleta,6,7509.05,7110.65,7554.44
250,Roleta,6,7497.22,7372.5,8146.25
250,Roleta,6,7147.41,7017.7,7674.85
250,Roleta,6,7591.64,7322.24,7945.04
250,Roleta,6,7851.2,7523.18,8157.86
250,Roleta,6,6988.61,7024.42,7858.36
250,Roleta,6,7880.75,7753.92,8352.95
250,Roleta,6,7705.56,7323.37,7914.76
250,Roleta,6,7806.78,7505.91,7831.86
250,Roleta,6,7574.97,7229.67,7841.7
250,Roleta,6,6868.53,7001.57,7347.45
250,Roleta,6,6590.45,6788.69,7139.01
250,Roleta,6,7160.53,6934.13,7672.41
250,Roleta,6,7297.36,6982.73,7746.77
250,Roleta,6,7577.26,7406.67,7747.9
250,Roleta,6,7561.74,7350.67,7953.69
250,Roleta,6,7005.79,6702.93,7069.18
250,Roleta,6,7099.04,6977.62,7766.46
250,Roleta,6,7724.71,7570.64,8101.58
250,Roleta,6,7502.28,7034.04,7827.77
250,Roleta,6,7555.44,7342.62,7820.99
250,Roleta,6,7268.24,7048.63,7990.37
250,Roleta,6,7474.05,7419.5,7846.27
250,Roleta,6,7282,7026.73,7772.6
250,Roleta,6,7708.83,7776.06,8551.72
250,Roleta,6,6661.96,6522.71,7338.44
250,Roleta,6,7016.98,7202.41,7345.98
250,Roleta,6,7170.64,6680.17,7698.69
250,Roleta,6,7293.85,7073.86,7832.54
250,Roleta,6,7270.41,6933.6,7578.39
250,Roleta,6,7598.18,7266.78,8236.77
250,Roleta,6,7187.34,7067.53,7624.96
250,Roleta,6,7680.12,7457.43,8059.39
250,Roleta,6,7302.24,6965.35,7983.73
250,Roleta,6,7080.17,6942.54,7633.92
250,Roleta,6,6744.28,6808.58,7456.6
250,Roleta,6,7540.26,7429.31,7985.91
250,Roleta,6,7271.28,7153.75,7846.84
250,Roleta,6,7384.53,7244.22,7599.16
250,Roleta,6,7013.27,6847.14,7727.21
250,Roleta,6,7284.81,7170.57,7866.48
250,Roleta,6,7913.11,7871.24,8453.35
250,Roleta,6,7367.21,7086.1,7876.46
250,Roleta,6,7437.87,7109.64,7423.57
250,Roleta,6,7445.6,7004.19,7972.52
250,Roleta,6,6975.13,6916.96,7218.55
250,Roleta,6,7439.21,7380.7,7651.12
250,Roleta,6,7555.48,7195.18,7978.52
250,Roleta,6,7573.59,7178.65,7933.25
250,Roleta,6,7573.59,7178.65,7933.25
250,Roleta,7,7476.45,7752.61,7801.02
250,Roleta,7,7334.69,7265.66,7730.31
250,Roleta,7,7364.29,7055.81,7670.45
250,Roleta,7,7450.61,6852.39,7225.67
250,Roleta,7,7575.2,7209.78,7799.04
250,Roleta,7,7592.05,7217.41,7940.05
250,Roleta,7,7453.11,7261.47,7695.09
250,Roleta,7,7425.32,7184.49,7846.79
250,Roleta,7,7490.29,7292.57,7802.78
250,Roleta,7,7221.74,7351.99,7548.46
